service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
i-tr1035av_49,20261109,20261115,1,1,1,1,1,0,0
i-tr1035av_5,20260105,20260111,1,1,1,1,1,0,0
i-tr1035av_50,20261116,20261122,1,1,1,1,1,0,0
i-tr1035av_51,20261123,20261129,1,1,1,1,1,0,0
i-tr1035av_52,20261130,20261206,1,1,1,1,1,0,0
i-tr1035av_53,20261207,20261213,1,1,1,1,1,0,0
i-tr1035av_6,20260112,20260118,1,1,1,1,1,0,0
i-tr1035av_7,20260119,20260125,1,1,1,1,1,0,0
i-tr1035av_8,20260126,20260201,1,1,1,1,1,0,0
i-tr1035av_9,20260202,20260208,1,1,1,1,1,0,0
i-tr1035aw_21,20260427,20260503,1,0,0,0,0,0,0
i-tr1035aw_29,20260622,20260628,0,0,0,1,0,0,0
i-tr1035aw_4,20251229,20260104,0,0,0,0,1,0,0
i-tr1036_21,20260427,20260503,1,0,0,0,0,0,0
i-tr1036_29,20260622,20260628,0,0,0,1,0,0,0
i-tr1036_4,20251229,20260104,0,0,0,0,1,0,0
i-tr1036at_10,20260209,20260215,1,1,1,1,1,0,0
i-tr1036at_11,20260216,20260222,1,1,1,1,1,0,0
i-tr1036at_12,20260223,20260301,1,1,1,1,1,0,0
i-tr1036at_13,20260302,20260308,1,1,1,1,1,0,0
i-tr1036at_14,20260309,20260315,1,1,1,1,1,0,0
i-tr1036at_15,20260316,20260322,1,1,1,1,1,0,0
i-tr1036at_16,20260323,20260329,1,1,1,1,1,0,0
i-tr1036at_17,20260330,20260405,1,1,1,1,1,0,0
i-tr1036at_18,20260406,20260412,0,1,1,1,1,0,0
i-tr1036at_19,20260413,20260419,1,1,1,1,1,0,0
i-tr1036at_2,20251215,20251221,1,1,1,1,1,0,0
i-tr1036at_20,20260420,20260426,1,1,1,1,1,0,0
i-tr1036at_21,20260427,20260503,0,1,1,1,0,0,0
i-tr1036at_22,20260504,20260510,1,1,1,1,1,0,0
i-tr1036at_23,20260511,20260517,1,1,1,1,1,0,0
i-tr1036at_24,20260518,20260524,1,1,1,1,1,0,0
i-tr1036at_25,20260525,20260531,1,1,1,1,1,0,0
i-tr1036at_26,20260601,20260607,1,1,1,1,1,0,0
i-tr1036at_27,20260608,20260614,1,1,1,1,1,0,0
i-tr1036at_28,20260615,20260621,1,1,1,1,1,0,0
i-tr1036at_29,20260622,20260628,1,1,1,0,1,0,0
i-tr1036at_3,20251222,20251228,1,1,1,0,0,0,0
i-tr1036at_30,20260629,20260705,1,1,1,1,1,0,0
i-tr1036at_31,20260706,20260712,1,1,1,1,1,0,0
i-tr1036at_32,20260713,20260719,1,1,1,1,1,0,0
i-tr1036at_33,20260720,20260726,1,1,1,1,1,0,0
i-tr1036at_34,20260727,20260802,1,1,1,1,1,0,0
i-tr1036at_35,20260803,20260809,1,1,1,1,1,0,0
i-tr1036at_36,20260810,20260816,1,1,1,1,1,0,0
i-tr1036at_37,20260817,20260823,1,1,1,1,1,0,0
i-tr1036at_38,20260824,20260830,1,1,1,1,1,0,0
i-tr1036at_39,20260831,20260906,1,1,1,1,1,0,0
i-tr1036at_4,20251229,20260104,1,1,1,0,0,0,0
i-tr1036at_40,20260907,20260913,1,1,1,1,1,0,0
i-tr1036at_41,20260914,20260920,1,1,1,1,1,0,0
i-tr1036at_42,20260921,20260927,1,1,1,1,1,0,0
i-tr1036at_43,20260928,20261004,1,1,1,1,1,0,0
i-tr1036at_44,20261005,20261011,1,1,1,1,1,0,0
i-tr1036at_45,20261012,20261018,1,1,1,1,1,0,0
i-tr1036at_46,20261019,20261025,1,1,1,1,1,0,0
i-tr1036at_47,20261026,20261101,1,1,1,1,1,0,0
i-tr1036at_48,20261102,20261108,1,1,1,1,1,0,0
i-tr1036at_49,20261109,20261115,1,1,1,1,1,0,0
i-tr1036at_5,20260105,20260111,1,1,1,1,1,0,0
i-tr1036at_50,20261116,20261122,1,1,1,1,1,0,0
i-tr1036at_51,20261123,20261129,1,1,1,1,1,0,0
i-tr1036at_52,20261130,20261206,1,1,1,1,1,0,0
i-tr1036at_53,20261207,20261213,1,1,1,1,1,0,0
i-tr1036at_6,20260112,20260118,1,1,1,1,1,0,0
i-tr1036at_7,20260119,20260125,1,1,1,1,1,0,0
i-tr1036at_8,20260126,20260201,1,1,1,1,1,0,0
i-tr1036at_9,20260202,20260208,1,1,1,1,1,0,0
i-tr1036au_18,20260406,20260412,1,0,0,0,0,0,0
i-tr1037_18,20260406,20260412,1,0,0,0,0,0,0
i-tr1037ax_10,20260209,20260215,1,1,1,1,1,0,0
i-tr1037ax_11,20260216,20260222,1,1,1,1,1,0,0
i-tr1037ax_12,20260223,20260301,1,1,1,1,1,0,0
i-tr1037ax_13,20260302,20260308,1,1,1,1,1,0,0
i-tr1037ax_14,20260309,20260315,1,1,1,1,1,0,0
i-tr1037ax_15,20260316,20260322,1,1,1,1,1,0,0
i-tr1037ax_16,20260323,20260329,1,1,1,1,1,0,0
i-tr1037ax_17,20260330,20260405,1,1,1,1,1,0,0
i-tr1037ax_18,20260406,20260412,0,1,1,1,1,0,0
i-tr1037ax_19,20260413,20260419,1,1,1,1,1,0,0
i-tr1037ax_2,20251215,20251221,1,1,1,1,1,0,0
i-tr1037ax_20,20260420,20260426,1,1,1,1,1,0,0
i-tr1037ax_21,20260427,20260503,0,1,1,1,0,0,0
i-tr1037ax_22,20260504,20260510,1,1,1,1,1,0,0
i-tr1037ax_23,20260511,20260517,1,1,1,1,1,0,0
i-tr1037ax_24,20260518,20260524,1,1,1,1,1,0,0
i-tr1037ax_25,20260525,20260531,1,1,1,1,1,0,0
i-tr1037ax_26,20260601,20260607,1,1,1,1,1,0,0
i-tr1037ax_27,20260608,20260614,1,1,1,1,1,0,0
i-tr1037ax_28,20260615,20260621,1,1,1,1,1,0,0
i-tr1037ax_29,20260622,20260628,1,1,1,0,1,0,0
i-tr1037ax_3,20251222,20251228,1,1,1,0,0,0,0
i-tr1037ax_30,20260629,20260705,1,1,1,1,1,0,0
i-tr1037ax_31,20260706,20260712,1,1,1,1,1,0,0
i-tr1037ax_32,20260713,20260719,1,1,1,1,1,0,0
i-tr1037ax_33,20260720,20260726,1,1,1,1,1,0,0
i-tr1037ax_34,20260727,20260802,1,1,1,1,1,0,0
i-tr1037ax_35,20260803,20260809,1,1,1,1,1,0,0
i-tr1037ax_36,20260810,20260816,1,1,1,1,1,0,0
i-tr1037ax_37,20260817,20260823,1,1,1,1,1,0,0
i-tr1037ax_38,20260824,20260830,1,1,1,1,1,0,0
i-tr1037ax_39,20260831,20260906,1,1,1,1,1,0,0
i-tr1037ax_4,20251229,20260104,1,1,1,0,0,0,0
i-tr1037ax_40,20260907,20260913,1,1,1,1,1,0,0
i-tr1037ax_41,20260914,20260920,1,1,1,1,1,0,0
i-tr1037ax_42,20260921,20260927,1,1,1,1,1,0,0
i-tr1037ax_43,20260928,20261004,1,1,1,1,1,0,0
i-tr1037ax_44,20261005,20261011,1,1,1,1,1,0,0
i-tr1037ax_45,20261012,20261018,1,1,1,1,1,0,0
i-tr1037ax_46,20261019,20261025,1,1,1,1,1,0,0
i-tr1037ax_47,20261026,20261101,1,1,1,1,1,0,0
i-tr1037ax_48,20261102,20261108,1,1,1,1,1,0,0
i-tr1037ax_49,20261109,20261115,1,1,1,1,1,0,0
i-tr1037ax_5,20260105,20260111,1,1,1,1,1,0,0
i-tr1037ax_50,20261116,20261122,1,1,1,1,1,0,0
i-tr1037ax_51,20261123,20261129,1,1,1,1,1,0,0
i-tr1037ax_52,20261130,20261206,1,1,1,1,1,0,0
i-tr1037ax_53,20261207,20261213,1,1,1,1,1,0,0
i-tr1037ax_6,20260112,20260118,1,1,1,1,1,0,0
i-tr1037ax_7,20260119,20260125,1,1,1,1,1,0,0
i-tr1037ax_8,20260126,20260201,1,1,1,1,1,0,0
i-tr1037ax_9,20260202,20260208,1,1,1,1,1,0,0
i-tr1037ay_21,20260427,20260503,1,0,0,0,0,0,0
i-tr1037ay_29,20260622,20260628,0,0,0,1,0,0,0
i-tr1037ay_4,20251229,20260104,0,0,0,0,1,0,0
i-tr1038_10,20260209,20260215,1,1,1,1,1,0,0
i-tr1038_11,20260216,20260222,1,1,1,1,1,0,0
i-tr1038_12,20260223,20260301,1,1,1,1,1,0,0
i-tr1038_13,20260302,20260308,1,1,1,1,1,0,0
i-tr1038_14,20260309,20260315,1,1,1,1,1,0,0
i-tr1038_15,20260316,20260322,1,1,1,1,1,0,0
i-tr1038_16,20260323,20260329,1,1,1,1,1,0,0
i-tr1038_17,20260330,20260405,1,1,1,1,1,0,0
i-tr1038_18,20260406,20260412,0,1,1,1,1,0,0
i-tr1038_19,20260413,20260419,1,1,1,1,1,0,0
i-tr1038_2,20251215,20251221,1,1,1,1,1,0,0
i-tr1038_20,20260420,20260426,1,1,1,1,1,0,0
i-tr1038_21,20260427,20260503,1,1,1,1,0,0,0
i-tr1038_22,20260504,20260510,1,1,1,1,1,0,0
i-tr1038_23,20260511,20260517,1,1,1,1,1,0,0
i-tr1038_24,20260518,20260524,1,1,1,1,1,0,0
i-tr1038_25,20260525,20260531,1,1,1,1,1,0,0
i-tr1038_26,20260601,20260607,1,1,1,0,1,0,0
i-tr1038_27,20260608,20260614,1,1,1,1,1,0,0
i-tr1038_28,20260615,20260621,1,1,1,1,1,0,0
i-tr1038_29,20260622,20260628,0,1,1,1,1,0,0
i-tr1038_3,20251222,20251228,1,1,1,0,0,0,0
i-tr1038_30,20260629,20260705,1,1,1,1,1,0,0
i-tr1038_31,20260706,20260712,1,1,1,1,1,0,0
i-tr1038_32,20260713,20260719,1,1,1,1,1,0,0
i-tr1038_33,20260720,20260726,1,1,1,1,1,0,0
i-tr1038_34,20260727,20260802,1,1,1,1,1,0,0
i-tr1038_35,20260803,20260809,1,1,0,1,1,0,0
i-tr1038_36,20260810,20260816,1,1,1,1,1,0,0
i-tr1038_37,20260817,20260823,1,1,1,1,1,0,0
i-tr1038_38,20260824,20260830,1,1,1,1,1,0,0
i-tr1038_39,20260831,20260906,1,1,1,1,1,0,0
i-tr1038_4,20251229,20260104,1,1,1,0,1,0,0
i-tr1038_40,20260907,20260913,1,1,1,1,1,0,0
i-tr1038_41,20260914,20260920,1,1,1,1,1,0,0
i-tr1038_42,20260921,20260927,1,1,1,1,1,0,0
i-tr1038_43,20260928,20261004,1,1,1,1,1,0,0
i-tr1038_44,20261005,20261011,1,1,1,1,1,0,0
i-tr1038_45,20261012,20261018,1,1,1,1,1,0,0
i-tr1038_46,20261019,20261025,1,1,1,1,1,0,0
i-tr1038_47,20261026,20261101,1,1,1,1,1,0,0
i-tr1038_48,20261102,20261108,1,1,1,1,1,0,0
i-tr1038_49,20261109,20261115,1,1,1,1,1,0,0
i-tr1038_5,20260105,20260111,1,0,1,1,1,0,0
